question_number,category,question,options
120,آیین دادرسی کیفری,کدام مورد با آرای وحدت رویه هیئت عمومی دیوان عالی کشور و مقررات قانونی مطابقت ندارد؟,1) تعیین مجازات حبس بیش از حداقل مجازات مقرر در قانون بدون ذکر علت صدور حکم از موجبات اعاده دادرسی است. | 2) در جرایم قابل گذشت تا زمان گذشت شاکی حق تجدید نظرخواهی دادستان نسبت به حکم برانت متهم باقی است. | 3) قاضی ملزم به تبعیت از نظر هیئت منصفه مبنی بر بیگناهی متهم است. | 4) صرف شکایت کیفری از قاضی رسیدگی کننده به پرونده از موجبات رد دادرس نیست
121,حقوق اساسی,به موجب قانون اساس ی ابتکار بودجه کل کشور با کدام مرجع است؟,1) دیوان محاسبات کشور | 2) دولت | 3) وزارت امور اقتصادی و دارایی | 4) مجلس شورای اسلامی
122,حقوق اساسی,در قانون اساسی از کدام مورد به عنوان یکی از مصادیق انفال و ثروتهای عمومی یاد شده است؟,1) مراتعی که در حریم قرار دارد. | 2) اموال دولتی که از غاصبین مسترد میشود . | 3) معابر عمومی | 4) نیزارها و بیشه های طبیعی
123,حقوق اساسی,طبق قانون اساسی اعمال کدام صلاحیت رئیس قوه قضائیه پس از مشورت امکان پذیر است؟,1) تفویض اختیارات تام مالی و اداری به وزیر دادگستری | 2) تفویض اختیارات استخدامی غیر قضات به وزیر دادگستری | 3) تغییر سمت یا محل خدمت قاض ی | 4) ایجاد تشکیلات لازم در دادگستری
124,حقوق اساسی,به موجب قانون اساسی رسیدگی به کدام دعاوی زیر باید به صورت خارج از نوبت انجام گیرد؟,1) اعتراض به انحلال شوراهای محلی در صورت انحراف از وظایف قانون ی | 2) دعاوی مربوط به جرایم موضوع اصل 49  قانون اساسی (ثروت های نامشروع) | 3) اتهامات رئیس جمهور و معاونان وی در مورد جرایم عادی | 4) جرایمی که نظامیان در مقام ضابط دادگستری مرتکب شوند.
125,حقوق اساسی,در قانون اساسی به کدام یک از اصول حاکم بر رسیدگیهای قضایی تصریح شده است؟,1) علنی بودن | 2) دو درجه ای بودن | 3) بی طرفی | 4) تناظر
126,حقوق اساسی,«منع تبذیر» ذیل ضوابط حاکم بر کدام یک از شئون نظام جمهوری اسلامی در قانون اساسی مورد اشاره قرار گرفته است؟,1) سیاست خارجی | 2) اقتصاد | 3) امنیت ملی | 4) فرهنگ
127,حقوق اساسی,کدام مورد در خصوص تفویض اختیار قانونگذاری از سوی مجلس شورای اسلامی، صحیح است؟,1) مجلس می تواند تصویب دائمی قوانین آزمایشی را به کمیسیونهای داخلی مجلس تفویض کند . | 2) تشخیص عدم مغایرت اساسنامه های مصوب کمیسیونهای داخلی مجلس با قوانین با رئیس مجلس است. | 3) تشخیص عدم مغایرت اساسنامه های مصوب دولت با قوانین با رئیس مجلس است. | 4) مجلس صرفاً می تواند تصویب دائمی اساسنامه سازمانهای دولتی را به دولت تفویض کند .
128,حقوق اساسی,در قانون اساسی کدام آزادی مشروط به رعایت حقوق دیگران شده است؟,1) آزادی عقیده | 2) آزادی اجتماعات | 3) آزادی بیان | 4) آزادی انتخاب شغل
129,حقوق اساسی,بنا به تصریح قانون اساس ی مصوبات کدام مرجع نباید با متن و روح قانون مغایرت داشته باشد؟,1) شورای عالی امنیت ملی | 2) شوراهای فرعی شورای عالی امنیت ملی | 3) شوراهای محلی | 4) هیئت وزیران
130,حقوق اساسی,در قانون اساسی بر ممنوعیت تبعیض در کدام مورد زیر تصریح شده است؟,1) داشتن مسکن متناسب با نیاز | 2) بهره برداری از منابع طبیعی | 3) برخورداری از آموزش و بهداشت عمومی | 4) استفاده از انقال و ثروت های عمومی
131,حقوق اساسی,بنا به تصریح قانون اساسی سلب کدام یک از حقوق زیر به درخواست خود شخص ذی حق امکان پذیر دانسته شده است؟,1) حق تابعیت | 2) حق داشتن وکیل | 3) حق دادخواهی | 4) حق آموزش رایگان
132,حقوق اساسی,کدام مورد از ابعاد حق دادخواهی در قانون اساسی به شمار نمی آید؟,1) در دسترس بودن دادگاه | 2) حق رجوع به دادگاه های صلاحیت دار | 3) دو درجه ای بودن رسیدگی | 4) ممنوعیت اجبار افراد به عدم مراجعه به دادگاه صلاحیت دار
133,حقوق اساسی,شهروندی که از مصوبه دولت متضرر شده و آن را خلاف قانون میداند همزمان نسبت به مصوبه مذکور در کمیسیون اصل 90 قانون اساسی و دیوان عدالت اداری طرح شکایت میکند کدام مورد در خصوص این اقدام، صحیح است؟,1) در چنین مواردی در چارچوب اصل 138 قانون اساسی مرجع صلاحیت دار از سوی رئیس مجلس شورای اسلامی تعیین میشود. | 2) هر دو مرجع مکلف به رسیدگی به این شکایت هستند. | 3) کمیسیون اصل 90 تا زمان صدور رأی از سوی دیوان عدالت اداری با موافقت رئیس مجلس شورای اسلامی رسیدگی به موضوع را متوقف می کند | 4) دیوان عدالت اداری با صدور قرار توقف رسیدگی هرگونه تصمیم گیری در این خصوص را منوط به نتیجه رسیدگی کمیسیون اصل 90 می نماید.
134,حقوق اساسی,کدام مورد در خصوص اعمال قوه مقننه صحیح است؟,1) اعمال قوه مقننه در مسائل بسیار مهم سیاسی و اقتصادی و فرهنگی لزوماً از طریق همه پرسی است. | 2) اعمال قوه مقننه صرفاً از طریق مجلس شورای اسلامی است. | 3) اعمال قوه مقننه در جمهوری اسلامی ایران از طریق مجلس شورای اسلامی و مجمع تشخیص مصلحت نظام است. | 4) در مسائل بسیار مهم سیاسی و اقتصادی و فرهنگی اعمال قوه مقننه از راه همه پرسی نیز ممکن است.
135,حقوق اساسی,به موجب قانون اساسی کدام مورد ضرورتاً نیاز به تصویب مجلس شورای اسلامی ندارد؟,1) صلح دعاوی مربوط به اموال دولتی | 2) دادن وام و کمکهای بدون عوض خارجی | 3) هرگونه تغییر در خطوط مرزی | 4) الحاق به مقاوله نامه های بینالمللی
136,حقوق اساسی,کارمند شرکت دولتی در ایامی که در مرخصی بدون حقوق به سر میبرد به عنوان مدیر عامل یک شرکت خصوصی مشغول به کار می شود. اقدام مزبور چه حکمی دارد؟,1) کارمندان شرکتهای دولتی تابع مقررات استخدامی خاص خود هستند و اساساً مشمول ممنوعیت جمع مشاغل نمیشوند. | 2) صرفاً در صورتی که دولت درصدی از سهام شرکت خصوصی را داشته باشد عمل وی مشمول ممنوعیت جمع   مشاغل  نمی شود. | 3) مشمول عنوان جمع مشاغل و ممنوع است. | 4) با توجه به عدم دریافت حقوق در مدت مرخصی مشمول ممنوعیت جمع مشاغل نیست.
137,حقوق اساسی,شرکتی با اختراع یک دستگاه و فروش عمده آن به کارخانجات خودروسازی موجب بیکار شدن تعداد زیادی از کارگران کارخانجات مزبور می.شود کدام مورد در خصوص اقدام مذکور، صحیح است؟,1) این اقدام مغایر اصل 40  قانون اساسی دایر بر ممنوعیت اضرار به غیر به واسطه اعمال حق خویش است. | 2) با توجه به شناسایی آزادی کسب و کار در صدر اصل 28  قانون اساسی ایراد قانونی بر آن مترتب  نیست. | 3) عمل مذکور از مصادیق ذیل اصل 46 قانون اساسی مبنی بر ممنوعیت سلب کسب و کار از دیگری به بهانه مالکیت   نسبت  به کسب و  کار خود است . | 4) اقدام شرکت بر اساس اصل 28  قانون اساسی که آزادی اشتغال را محدود به مصالح عمومی می داند مغایر قانون اساسی است.
138,حقوق اساسی,چنانچه مجلس شورای اسلامی طی مصوبه ای تعیین تکلیف استخدام کارشناسان خارجی در وزارت نیرو را در طول برنامه پنج ساله هفتم پیشرفت به هیئت وزیران واگذار نماید مصوبه مزبور چه حکمی دارد؟,1) مطابق قانون اساسی است چرا که دولت می تواند در خصوص استخدام کارشناسان خارجی برای مدت موقتی که   مجلس تعیین می  کند  تعیین  تکلیف  نماید. | 2) مطابق قانون اساسی است چرا که دولت می تواند در خصوص استخدام کارشناسان خارجی برای دستگاه خاصی که مجلس تعیین می کند تعیین تکلیف نماید. | 3) مغایر قانون اساسی است و هرگونه استخدام کارشناس خارجی از طرف دولت صرفاً در موارد ضرورت باید با تصویب  مجلس باشد. | 4) اطلاق آن، مغایر قانون اساسی است و استخدام کارشناس خارجی از طرف دولت صرفاً در موارد ضرورت با تصویب هیئت دولت امکان پذیر است.
139,حقوق اساسی,شورای اسلامی شهری اقدام به وضع مصوبه ای کرده و به موجب آن هرگونه استخدام در شورا و شهرداری را منوط به استخدام از بین افراد بومی آن شهر نموده است. وظیفه فرماندار شهرستان مربوطه در قبال این مصوبه چیست؟,1) با توجه به عدم ارتباط مصوبه با حدود اختیارات شورا مغایرت آن با قوانین و مقررات را به هیئت تطبیق مصوبات شهر و شهرستان اعلام نماید | 2) به موجب قانون اساسی فرمانداران و سایر مقامات کشوری که از طرف دولت تعیین می شوند در هر حال، ملزم به رعایت تصمیمات شوراها هستند. | 3) به موجب قانون اساسی فرماندار مادامی که مصوبه مزبور از سوی دیوان عدالت اداری ابطال نشده باشد، ملزم به رعایت آن است. | 4) فرماندار مادامی که مغایرت مصوبه با حدود اختیارات شوراها از سوی شورای عالی استانها تأیید نشود ملزم به رعایت آن است .
140,حقوق اساسی,در قانون اساسی به تعیین تکلیف کدام یک از امور مربوط به هیئت منصفه در جرایم سیاسی و مطبوعاتی در قانون  تصریح  نشده است؟,1) شرایط هیئت منصفه | 2) اختیارات هیئت منصفه | 3) نحوه انتخاب هیئت منصفه | 4) نحوه نظارت بر هیئت منصفه
